Номер	Слово	Номер урока	Перевод 1	Перевод 2	Перевод 3	
2116	마련되다		Быть запланированным и ранжированным			
2122	시도하다		Попробовать, попытаться			
2127	적용하다		Применить что-то к чему-то			
2129	참가하다		Принять участие в, присоединиться			
2132	특정하다		Указывать			
2138	깎다		Вырезать или обрезать			
2140	머물다		Ночевать			
2144	숙이다		Опустить голову			
2150	지원하다		Желать, стремиться			
2152	짙다		Темный, густой			
2160	걱정하다		Беспокоиться			
2164	끄다		Потушить или погасить			
2165	담당하다		Позаботиться			
2166	벗기다		Раздевать, раздеть			
2172	엄격하다		Быть строгим, серьезным			
2173	완벽하다		Идеальный			
2174	완전하다		Быть совершенным, безупречным			
2183	만지다		Трогать			
2186	버티다		Терпеть			
2188	분포하다		Распределять			
2199	해마다		Ежегодный			
2205	다투다		Ссориться			
2207	뻗다		Протянуться, выйти за рамки			
2208	생활하다		жить, зарабатывать на жизнь			
2209	솔직하다		откровенный, искренний			
2210	안타깝다		Душераздирающий			
2211	앞장서다		Быть лидером, быть в главе			
2212	요청하다		Попросить, запросить			
2213	이르다		Быть ранним, преждевременным			
2214	일치하다		Быть согласным с			
2215	젓다		Давать знак, жестикулировать			
2219	터뜨리다		Взломать, взорвать			
2221	개발되다		Быть разработанным или использованным			
2224	대비하다		Обеспечить, подготовиться			
2230	쓰러지다		Падать, коллапсировать			
2234	자랑스럽다		Быть гордым			
2236	적당하다		Быть подходящим			
2237	적용되다		Быть примененным			
2240	진행하다		Продвигаться			
2246	달려오다		Прибежать			
2250	스치다		Брить			
2256	잃어버리다		Терять			
2258	잠들다		Заснуть			
2260	조용하다		Чтобы быть тихо, по-прежнему			
2265	활동하다		Быть активным, вести активный образ жизни			
2267	귀엽다		Быть милым			
2268	답답하다		Беспокоиться			
2269	당황하다		Путать			
2274	벌리다		Открытый, широкий			
2276	보관하다		Держать в своем заключении			
2277	부딪치다		Сталкиваться с, ударяться			
2279	상하다		повреждать, травмировать			
2282	싫어하다		Не любить, нехотя делать			
2286	트이다		Очистить, открыть			
2287	피곤하다		Быть очень уставшим			
2294	깔리다		Распреостраняться			
2298	소리치다		Кричать, кричать			
2300	신선하다		Свежий			
2302	약속하다		Для того, чтобы обещание			
2307	조심하다		Быть осторожным			
2309	찌르다		удар, толчок			
2315	확대되다		Будет увеличено			
2318	덥다		Будьте жарко, с подогревом			
2326	어떡하다		Для того, чтобы некоторые меры, чтобы управлять каким-то образом			
2331	잠기다		Раковина в воде			
2332	주고받다		Дайте и получать, обмен			
2335	털다		Для стряхнуть, освежить			
2337	공개하다		Открыть для общественности			
2343	달아나다		Побег, бежать			
2344	묶다		связывать, галстук			
2348	신다		Положите на, носить			
2356	전개되다		Быть развернутым, быть распространенным			
2357	죄송하다		Сожалеть			
2359	크다		Быть большим			
2364	훔치다		Украсть			
2368	구분하다		Разделить, классифицировать			
2377	지다		Заходить, закатываться (солнце)			
2383	가늘다		Тонкий, стройный			
2386	굽히다		Сгибать			
2387	근무하다		Работать, трудиться			
2389	넓히다		Расширять			
2397	어색하다		Быть неловким, застенчивым в словах, молчаливм			
2398	얹다		Положить на, место, установить			
2402	줍다		Взять, собрать			
2406	평범하다		Обычная, средняя			
2411	건지다		"Вытащить из воды; спасти человека от опасности"			
2412	깨지다		Сломать			
2413	내다보다		Искать			
2415	마땅하다		Быть правым			
2416	바로잡다		Выпрямлять			
2417	박히다		Быть прибитым			
2421	아무렇지않다		Быть равнодушным, Быть случайным			
2422	이용되다		Быть использованным			
2425	제거하다		исключить, удалить			
2426	줄다		Уменьшить			
2428	지우다		Стереть			
2433	합치다		объединить			
2439	맞서다		Стоять напротив			
2440	모자라다		Быть недостаточным			
2441	박다		Водить, забивать			
2443	상상하다		Вообразить			
2445	안전하다		Быть в безопасности			
2447	이르다		Сообщить, докладывать, сказать			
2458	끓다		Варить или тушить			
2459	날아오다		Прилетать			
2466	살아남다		Выживать			
2471	의심하다		Быть подозрительным, сомневаться			
2473	잇따르다		Следовать один за другим			
2474	자랑하다		Быть гордым			
2479	지시하다		Направить, поручить			
2481	허용하다		Разрешить, утвердить, позволить			
2485	그려지다		Нарисовать			
2492	빌다		Молиться, желать, просить			
2495	썩다		Стать плохим, сгнить			
2497	엉뚱하다		"Быть экстраординарным, экстравагантным; отвлекать внимание"			
2499	잊어버리다		Забывать			
2502	태우다		Жечь, предавать огню			
2504	가리다		Выбирать			
2506	계산하다		Считать			
2509	담그다		Замочить в воде			
2515	부탁하다		Попросить об одолжении			
2518	설치되다		Быть установленным			
2521	실패하다		Неудача			
2522	영원하다		Чтобы быть вечным			
2525	정해지다		Быть определенным, быть поселенным			
2526	짚다		Почувствовать, ощутить, проверить			
2529	튼튼하다		Твердый, компактный			
2533	논의하다		Обсуждать			
2538	바치다		Дать, предложить			
2539	반하다		Быть вопреки			
2540	발표되다		Быть объявленным			
2541	부정하다		Быть неуверенным, непостоянным			
2542	불러일으키다		Расшевелить			
2545	씹다		Жевать			
2547	안되다		Не должен			
2552	익다		Спелый, созревший			
2553	제출하다		Отправить, предоставить			
2554	조심스럽다		Осторожный			
2556	짐작하다		Угадать, вывести			
